Rank,Name,W2001,Citizenship,C2001,Age01,I01,,Rank,Name,W2002,Citizenship,C2002,Age02,I02,,Rank,Name,W2003,Citizenship,C2003,Age03,I03,,Rank,Name,W2004,Citizenship,C2004,Age04,I04,,Rank,Name,W2005,Citizenship,C2005,Age05,I05,,Rank,Name,W2006,Citizenship,C2006,Age06,I06,,Rank,Name,W2007,Citizenship,C2007,Age07,I07,,Rank,Name,W2008,Citizenship,C2008,Age08,I08,,Rank,Name,W2009,Citizenship,C2009,Age09,I09,,Rank,Name,W2010,Citizenship,C2010,Age10,I10,G10,,Rank,Name,W2011,Citizenship,C2011,Age11,I11,G11,,Rank,Name,W2012,Citizenship,C2012,Age12,I12,G12,,Rank,Name,W2013,Citizenship,C2013,Age13,I13,G13,,Rank,Name,W2014,Citizenship,C2014,Age14,I14,G14,,Rank,Name,W2015,Citizenship,C2015,Age15,I15,G15,,Rank,Name,W2016,Citizenship,C2016,Age16,I16,G16,,Rank,Name,W2017,Citizenship,C2017,Age17,I17,G17,,Rank,Name,W2018,Citizenship,C2018,Age18,I18,G18,,Rank,Name,W2019,Citizenship,C2019,Age19,I19,G19,,Rank,Name,W2020,Citizenship,C2020,Age20,I20,G20,,Rank,Name,W2021,Citizenship,C2021,Age21,I21,G21,,Rank,Name,W2022,Citizenship,C2022,Age22,I22,G22,,Rank,full_name,W2023,Citizenship,C2023,Age23,I23,G23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Norma Lerner,10,United State,North America,80,Financials,Female,,1867,Yang Keng,12,China,Asia,57,Real Estate,Male,,1941,Lee Joon-ho,11,South Korea,Asia,54,Information Technology,Male,,1990,GT Dave,10,United State,North America,59,Financials,Male,,1931,Tomas Olivo Lopez,16,Spain,Europe,47,Real Estate,Male,,1929,Chen Baohua,15,China,Asia,60,Information Technology,Male,,1905,Terry Snow,15,Australia,Australia,79,Real Estate,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Randolph Lerner,10,United State,North America,55,Financials,Male,,1867,Yang Shaopeng,12,China,Asia,60,Industrials,Male,,1941,Mark Leonard & family,11,Canada,North America,62,Information Technology,Male,,1990,Christopher Rokos,10,United Kingdom,Europe,77,Financials,Male,,1931,Rubens Ometto Silveira Mello,16,Brazil,South America,71,Energy,Male,,1929,Xianbao Chen & family,15,China,Asia,62,Real Estate,Male,,1905,Axel Stawski,15,United State,North America,72,Real Estate,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Li Yihai,10,China,Asia,54,HealthCare,Male,,1867,Zhang Cheng Fei,12,China,Asia,50,Industrials,Male,,1941,Theodore Leonsis,11,United State,North America,63,Communication Services,Male,,1990,Kostyantin Zhevago,10,United Kingdom,Europe,66,Consumer,Male,,1931,Pan Gang,16,China,Asia,50,Consumer,Male,,1929,Ke Xiping & family,15,China,Asia,61,Financials,Male,,1905,Thomas Steyer,15,United State,North America,65,Financials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Liao Chang,10,China,Asia,50,Consumer,Male,,1867,Zhang Jingzhang,12,China,Asia,82,Industrials,Male,,1941,Nancy Lerner,11,United State,North America,58,Financials,Female,,1990,Chanchai Ruayrungruang,10,China,Asia,66,Financials,Female,,1931,Ajay Parekh,16,India,Asia,63,Industrials,Male,,1929,Wang Zelong,15,China,Asia,25,Financials,Male,,1905,Sergei Studennikov & family,15,Russia,Europe,56,Consumer,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,John Liew,10,United State,North America,49,Financials,Male,,1867,Zhang Keqiang,12,China,Asia,57,Real Estate,Male,,1941,Norma Lerner,11,United State,North America,82,Financials,Female,,1990,Zhou Yongli & family,10,China,Asia,84,Communication Services,Male,,1931,David Paul,16,United State,North America,54,HealthCare,Male,,1929,Xu Wanmao,15,China,Asia,77,Communication Services,Male,,1905,Su Suyu & family,15,China,Asia,74,Real Estate,Female
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Desmond Lim Siew Choon,10,Malaysia,Asia,56,Real Estate,Male,,1867,Zhang Xuanning,12,China,Asia,47,Consumer,Male,,1941,Randolph Lerner,11,United State,North America,57,Financials,Male,,1990,Aydin Dogan,10,Turkey,Asia,37,Financials,Male,,1931,Nelson Peltz,16,United State,North America,78,Financials,Male,,1929,Youssef Mansour,15,Egypt,Africa,76,HealthCare,Male,,1905,Kevin Systrom,15,United State,North America,39,Information Technology,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Liu Canglong,10,China,Asia,62,Financials,Male,,1867,Zhang Zhangsun,12,China,Asia,61,Real Estate,Male,,1941,Vladimir Leschikov,11,Russia,Europe,62,Real Estate,Male,,1990,Igor Rybakov,10,Russia,Europe,44,Consumer,Female,,1931,Petro Poroshenko,16,United Kingdom,Europe,55,Consumer,Male,,1929,Antti Aarnio-Wihuri,15,Finland,Europe,82,Industrials,Male,,1905,Tan Lili,15,China,Asia,-,Consumer,Female
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Liu Hanyuan,10,China,Asia,53,Consumer,Male,,1867,Zhou Bajin,12,China,Asia,82,Industrials,Male,,1941,Li Fengluan,11,China,Asia,-,Financials,Female,,1990,Lisa Draexlmaier,10,Germany,Europe,60,Industrials,Male,,1931,G. Rajendran,16,India,Asia,78,Consumer,Male,,1929,Paolo Bulgari,15,Italy,Europe,84,Financials,Male,,1905,Tang Binsen,15,China,Asia,40,Consumer,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Liu Jianjun,10,China,Asia,56,Materials,Male,,1867,Zhou Wenyu,12,China,Asia,53,Real Estate,Male,,1941,Li Jiaquan,11,China,Asia,55,Industrials,Male,,1990,Julio Mario Santo Domingo III,10,United State,North America,56,HealthCare,Female,,1931,P.P. Reddy,16,India,Asia,63,Industrials,Male,,1929,Ezra Nahmad,15,Monaco,Europe,76,Financials,Female,,1905,Tang Rui,15,China,Asia,-,Information Technology,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Liu Ming Hui,10,China,Asia,54,Energy,Male,,1999,William Ackman,11,United State,North America,51,Financials,Male,,1941,Liang Zhaoxian,11,China,Asia,54,Industrials,Male,,1990,Du Sha,10,China,Asia,54,HealthCare,Male,,1931,Francisco Jose Riberas Mera,16,Spain,Europe,56,Industrials,Male,,1929,Torstein Hagen,15,Norway,Europe,79,Financials,Male,,1905,Prachak Tangkaravakoon,15,Thailand,Asia,79,Industrials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Liu Zhendong,10,China,Asia,-,Consumer,Male,,1999,Soegiarto Adikoesoemo,11,Indonesia,Asia,79,Industrials,Male,,1941,Lin Dingqiang & family,11,Hong Kong,Asia,52,Real Estate,Male,,1990,RJ Scaringe,10,United State,North America,83,Industrials,Male,,1931,Juan Maria Riberas Mera,16,Spain,Europe,52,Materials,Male,,1929,Pyotr Kondrashev,15,Russia,Europe,72,HealthCare,Male,,1905,Jeff Tangney,15,United State,North America,50,HealthCare,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,William Macaulay,10,United State,North America,71,Energy,Male,,1999,Ali Ibrahim Agaoglu,11,Turkey,Asia,64,Industrials,Male,,1941,Louise Lindh,11,Sweden,Europe,39,Financials,Female,,1990,Wesley Edens,10,United State,North America,41,HealthCare,Female,,1931,Subhash Runwal,16,India,Asia,77,Real Estate,Male,,1929,Esther Grether,15,Switzerland,Europe,86,Consumer,Male,,1905,Yuequn Tao,15,China,Asia,63,Consumer,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,George Marcus,10,United State,North America,75,Real Estate,Male,,1999,Hamdi Akin,11,Turkey,Asia,63,Financials,Male,,1941,Liu Xuejing & family,11,China,Asia,68,Financials,Male,,1990,Dieter Schnabel,10,Germany,Europe,40,HealthCare,Female,,1931,Deniz Sahenk,16,Turkey,Asia,75,Financials,Female,,1929,Niti Osathanugrah,15,Thailand,Asia,48,Financials,Male,,1905,David Teoh,15,Australia,Australia,67,Information Technology,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,David McMurtry,10,United Kingdom,Europe,76,Industrials,Male,,1999,Chirayu Amin,11,India,Asia,71,HealthCare,Male,,1941,Liu Zhendong,11,China,Asia,48,Consumer,Male,,1990,Fan Minhua,10,China,Asia,37,HealthCare,Male,,1931,Bhadresh Shah,16,India,Asia,69,Industrials,Male,,1929,Hamdi Akin & family,15,Turkey,Asia,67,Financials,Male,,1905,Carmen Thyssen,15,Spain,Europe,79,Industrials,Female
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Mi Enhua,10,China,Asia,58,Consumer,Male,,1999,Mehmet Aydinlar,11,Turkey,Asia,61,HealthCare,Male,,1941,Jose Llado Fernandez-Urrutia,11,Spain,Europe,84,Industrials,Male,,1990,Gerald Schwartz,10,Canada,North America,30,HealthCare,Male,,1931,Shen Hua & family,16,United State,North America,58,Information Technology,Male,,1929,Ahmet Calik,15,Turkey,Asia,64,Industrials,Male,,1905,Tran Ba Duong & family,15,Vietnam,Asia,63,Consumer,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Lowell Milken,10,United State,North America,68,Financials,Male,,1999,Emanuella Barilla,11,Italy,Europe,51,Consumer,Female,,1941,Lo Ka Shui,11,Hong Kong,Asia,72,Real Estate,Male,,1990,Fang Hongbo,10,China,Asia,72,Financials,Male,,1931,Barry Silbert,16,United State,North America,44,Financials,Male,,1929,Steve Case,15,United State,North America,63,Real Estate,Male,,1905,Kenny Troutt,15,United State,North America,75,Information Technology,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Azad Moopen,10,India,Asia,63,HealthCare,Male,,1999,Guido Barilla,11,Italy,Europe,59,Consumer,Male,,1941,Frederic Luddy,11,United State,North America,64,Information Technology,Male,,1990,Neerja Sethi,10,United State,North America,58,Real Estate,Male,,1931,Leonid Simanovsky,16,Russia,Europe,71,Financials,Male,,1929,Safra Catz,15,United State,North America,60,Financials,Male,,1905,Jens von Bahr,15,Sweden,Europe,52,Consumer,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Jannie Mouton,10,South Africa,Africa,70,Financials,Male,,1999,Luca Barilla,11,Italy,Europe,58,Consumer,Male,,1941,William Macaulay,11,United State,North America,73,Energy,Male,,1990,Jeff Green,10,United State,North America,56,Materials,Male,,1931,Peter Sperling,16,United State,North America,61,Consumer,Male,,1929,Bharat Desai,15,United State,North America,69,Information Technology,Male,,1905,Wang Junmin,15,China,Asia,54,HealthCare,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Nan Cunhui,10,China,Asia,53,Industrials,Male,,1999,Paolo Barilla,11,Italy,Europe,56,Consumer,Male,,1941,Duncan MacMillan,11,United State,North America,81,Financials,Male,,1990,Mikhail Shelkov,10,Russia,Europe,84,Consumer,Male,,1931,Sun Weijie,16,China,Asia,57,Industrials,Male,,1929,John Farber,15,United State,North America,96,Real Estate,Male,,1905,Weng Xianding,15,China,Asia,61,HealthCare,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Simon Nixon,10,United Kingdom,Europe,49,Information Technology,Male,,1999,Mehmet Rustu Basaran,11,Turkey,Asia,71,Energy,Male,,1941,Ana Maria Marcondes Penido Sant'Anna,11,Brazil,South America,63,Industrials,Female,,1990,David Hall,10,United State,North America,43,Consumer,Male,,1931,Tang Jianfang,16,China,Asia,-,Consumer,Female,,1929,Alan Gerry,15,United State,North America,93,Real Estate,Male,,1905,Farris Wilks,15,United State,North America,71,Energy,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Kentaro Ogawa,10,Japan,Asia,68,Consumer,Male,,1999,J. Hyatt Brown,11,United State,North America,80,Financials,Male,,1941,Katarina Martinson,11,Sweden,Europe,37,Financials,Female,,1990,Albert Shigaboutdinov,10,Russia,Europe,83,Communication Services,Male,,1931,Prachak Tangkaravakoon,16,Thailand,Asia,77,Industrials,Male,,1929,Seth Klarman,15,United State,North America,64,Communication Services,Male,,1905,Gordon Wu,15,Hong Kong,Asia,87,Real Estate,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Jonathan Oringer,10,United State,North America,42,Information Technology,Male,,1999,Bu Yang,11,China,Asia,-,Consumer,Female,,1941,Rubens Menin Teixeira de Souza,11,Brazil,South America,62,Financials,Male,,1990,Gerry Harvey,10,Australia,Australia,29,Consumer,Female,,1931,Clemens Toennies,16,Germany,Europe,64,Consumer,Male,,1929,Michael Polsky,15,United State,North America,73,Industrials,Male,,1905,Xiong Wu,15,China,Asia,47,Information Technology,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Erik Paulsson,10,Sweden,Europe,75,Real Estate,Male,,1999,HideyUnited Kingdomi Busujima,11,Japan,Asia,65,Consumer,Male,,1941,P.N.C. Menon,11,Oman,Asia,70,Real Estate,Male,,1990,Scott Smith,10,United State,North America,73,Financials,Male,,1931,Tran Ba Duong & family,16,Vietnam,Asia,61,Consumer,Male,,1929,Fayez Sarofim,15,United State,North America,93,Consumer,Male,,1905,Xu Zhenhua,15,China,Asia,-,Communication Services,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Pierre Karl Pladeau,10,Canada,North America,55,Communication Services,Male,,1999,Cai Rongjun,11,China,Asia,45,Information Technology,Male,,1941,Mi Enhua,11,China,Asia,60,Consumer,Male,,1990,Jaroslav Hascak,10,Slovakia,Europe,58,Financials,Male,,1931,Tseng Cheng,16,China,Asia,59,Industrials,Male,,1929,Kenny Troutt,15,United State,North America,74,Information Technology,Male,,1905,Xu Zhihan,15,China,Asia,50,Information Technology,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Boris Rotenberg,10,Russia,Europe,60,Industrials,Male,,1999,Cai Xiaoru,11,China,Asia,38,Information Technology,Male,,1941,James Monsees,11,United State,North America,39,Industrials,Male,,1990,Terry Snow,10,Australia,Australia,58,HealthCare,Female,,1931,Tung Ching Bor,16,China,Asia,58,Industrials,Male,,1929,Rongfu Lu,15,China,Asia,51,Consumer,Male,,1905,Tingdong Yang,15,China,Asia,62,Consumer,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,John Schnatter,10,United State,North America,55,Consumer,Male,,1999,Delfin Jorge Ezequiel Carballo,11,Argentina,South America,65,Financials,Male,,1941,Simon Nixon,11,United Kingdom,Europe,51,Information Technology,Male,,1990,Ho Hung Anh,10,Vietnam,Asia,53,Industrials,Male,,1931,Shigefumi Wada,16,Japan,Asia,68,Information Technology,Male,,1929,Junjin Wang,15,China,Asia,53,Materials,Female,,1905,Michael Minhong Yu,15,China,Asia,61,Consumer,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Martin Selig,10,United State,North America,79,Real Estate,Male,,1999,Chen Jinshi,11,China,Asia,55,Real Estate,Male,,1941,Liora Ofer,11,Israel,Asia,65,Financials,Female,,1990,Axel Stawski,10,United State,North America,43,Communication Services,Male,,1931,Wang Qinghua,16,China,Asia,55,Industrials,Male,,1929,Andreas Pohl,15,Germany,Europe,57,Financials,Male,,1905,Justin Yuan,15,China,Asia,-,Communication Services,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Evan Sharp,10,United State,North America,34,Information Technology,Male,,1999,Chen Qixing,11,China,Asia,58,Information Technology,Male,,1941,Madeleine Olsson Ericksson,11,Sweden,Europe,74,Financials,Female,,1990,Francis Holder,10,France,Europe,68,Consumer,Male,,1931,Wang Xuechao,16,China,Asia,-,HealthCare,Male,,1929,Reinfried Pohl Jr,15,Germany,Europe,62,Industrials,Male,,1905,Zhang Bangxin,15,China,Asia,43,Consumer,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Eric Ya Shen,10,China,Asia,46,Information Technology,Male,,1999,Chen Shiliang,11,China,Asia,54,Industrials,Male,,1941,Roberto Ongpin,11,Philippines,Asia,82,Financials,Male,,1990,Sergei Studennikov,10,Russia,Europe,80,Consumer,Male,,1931,Wang Yiran,16,China,Asia,41,Information Technology,Male,,1929,Balkrishan Goenka,15,India,Asia,55,Information Technology,Male,,1905,Zhang Hong,15,China,Asia,-,Energy,Female
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Albert Shigaboutdinov,10,Russia,Europe,62,Financials,Male,,1999,Chen Xiaxin,11,China,Asia,55,Financials,Male,,1941,Vitaly Orlov,11,Russia,Europe,54,Consumer,Male,,1990,Hur Young-in,10,Korea,Asia,50,Financials,Male,,1931,Myron Wentz,16,Saint Kitts and Nevis,North America,81,Consumer,Male,,1929,Ziv Aviram,15,Israel,Asia,63,Consumer,Male,,1905,Zhou Zongwen & family,15,China,Asia,66,Consumer,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Edgar Sia,10,Philippines,Asia,40,Consumer,Male,,1999,Manas Chiaravanond,11,Thailand,Asia,-,Financials,Male,,1941,Alberto Palatchi,11,Spain,Europe,69,Consumer,Male,,1990,Su Rubo,10,China,Asia,50,Financials,Male,,1931,Ian Wood & family,16,United Kingdom,Europe,78,Energy,Male,,1929,Amnon Shashua,15,Israel,Asia,61,Financials,Male,,2020,Antti Aarnio-Wihuri,14,Finland,Europe,83,Financials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,O. Bruton Smith,10,United State,North America,90,Consumer,Male,,1999,Yupa Chiaravanond,11,Thailand,Asia,-,Financials,Female,,1941,Andreas Pohl,11,Germany,Europe,54,Financials,Male,,1990,Jay-Z,10,United State,North America,79,Consumer,Male,,1931,Wu Chaoqun,16,China,Asia,51,Industrials,Male,,1929,Robert Mouawad,15,Lebanon,Asia,77,Information Technology,Male,,2020,Alberto Alcocer,14,Spain,Europe,80,Financials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Terry Snow,10,Australia,Australia,73,Real Estate,Male,,1999,Prathip Chiravanond,11,Thailand,Asia,-,Financials,Male,,1941,"Reinfried Pohl, Jr.",11,Germany,Europe,59,Financials,Male,,1990,Rustem Sulteev,10,Russia,Europe,70,Consumer,Male,,1931,Wu Yingming,16,China,Asia,54,Energy,Male,,1929,Binod Chaudhary,15,Nepal,Asia,66,Industrials,Male,,2020,Nigel Austin,14,Australia,Australia,52,Consumer,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Axel Stawski,10,United State,North America,66,Real Estate,Male,,1999,Gustavo Cisneros,11,Venezuela,South America,72,Communication Services,Male,,1941,Michael Price,11,United State,North America,66,Financials,Male,,1990,Kylie Jenner,10,United State,North America,50,Communication Services,Male,,1931,Xie Bingkun & family,16,China,Asia,54,Consumer,Male,,1929,Timothy Headington,15,United State,North America,71,Industrials,Male,,2020,Binny Bansal,14,India,Asia,40,Information Technology,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Michael Steinhardt,10,United State,North America,76,Financials,Male,,1999,Sandor Csanyi,11,Hungary,Europe,64,Financials,Male,,1941,Andrei Rappoport,11,Russia,Europe,55,Financials,Male,,1990,Tang Yan,10,China,Asia,22,Consumer,Female,,1931,Xiu Laigui,16,China,Asia,66,HealthCare,Male,,1929,Sidney Kimmel,15,United State,North America,94,HealthCare,Male,,2020,Girdhari Lal Bawri,14,India,Asia,75,HealthCare,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,Rustem Sulteev,10,Russia,Europe,63,Energy,Male,,1999,Cui Lijie,11,China,Asia,59,Consumer,Female,,1941,Boris Rotenberg,11,Russia,Europe,62,Industrials,Male,,1990,Jin Huiming,10,China,Asia,67,Real Estate,Male,,1931,Yang Erzhu,16,China,Asia,70,Real Estate,Male,,1929,Jonathan Oringer,15,United State,North America,47,Financials,Male,,2020,John Bloor,14,United Kingdom,Europe,79,Financials,Male
